ID,kwyk_uncertainty
ds001818_sub-041_ses-01_T1w,0.26649404322077136
ds001818_sub-016_ses-01_T1w,0.31312517886368185
ds001818_sub-013_ses-01_T1w,0.2693698384471937
ds001818_sub-006_ses-01_T1w,0.2547707859337624
ds001818_sub-031_ses-02_T1w,0.2622491194746816
ds001818_sub-031_ses-01_T1w,0.2645155514462971
ds001818_sub-043_ses-01_T1w,0.23919678802443906
ds001818_sub-048_ses-01_T1w,0.25575933439370624
ds001818_sub-034_ses-02_T1w,0.2657612275485921
ds001818_sub-034_ses-01_T1w,0.2509590765518098
ds001818_sub-042_ses-01_T1w,0.26772571019414787
ds001818_sub-050_ses-01_T1w,0.2726136150762298
ds001818_sub-005_ses-02_T1w,0.24308960289582338
ds001818_sub-005_ses-01_T1w,0.24654002937969494
ds001818_sub-033_ses-02_T1w,0.4413574413386151
ds001818_sub-033_ses-01_T1w,0.2837652047365417
ds001818_sub-014_ses-02_T1w,0.24491805455258267
ds001818_sub-014_ses-01_T1w,0.2261297447516506
ds001818_sub-019_ses-01_T1w,0.2557458891163914
ds001818_sub-028_ses-01_T1w,0.24954400052177236
ds001818_sub-027_ses-02_T1w,0.25182251392109084
ds001818_sub-027_ses-01_T1w,0.23739217809464264
ds001818_sub-035_ses-02_T1w,0.2567504093034321
ds001818_sub-035_ses-01_T1w,0.257276367021192
ds001818_sub-004_ses-02_T1w,0.26120250604699796
ds001818_sub-004_ses-01_T1w,0.2749611808572669
ds001818_sub-047_ses-01_T1w,0.25385121037888214
ds001818_sub-045_ses-01_T1w,0.26827954456013037
ds001818_sub-022_ses-02_T1w,0.30340594036363394
ds001818_sub-022_ses-01_T1w,0.29832676020264376
ds001818_sub-023_ses-02_T1w,0.24103975022701732
ds001818_sub-023_ses-01_T1w,0.22488219957693598
ds001818_sub-044_ses-02_T1w,0.2535203695499512
ds001818_sub-044_ses-01_T1w,0.27996362894006344
ds001818_sub-007_ses-01_T1w,0.23506836169813142
ds001818_sub-002_ses-02_T1w,0.25948498054988933
ds001818_sub-002_ses-01_T1w,0.2602729664267999
ds001818_sub-029_ses-02_T1w,0.2955388182096584
ds001818_sub-029_ses-01_T1w,0.264368947933728
ds003434_sub-09_ses-01_T1w,0.2584906144256518
ds003434_sub-02_ses-01_T1w,0.25974310638251785
ds003434_sub-03_ses-01_T1w,0.23737528362727978
ds003434_sub-01_ses-01_T1w,0.2890411158518606
ds003434_sub-18_ses-01_T1w,0.2560172133495878
ds003434_sub-12_ses-01_T1w,0.26154053062805466
ds003434_sub-14_ses-01_T1w,0.3757222388841794
ds003434_sub-05_ses-01_T1w,0.2404207488381628
ds003434_sub-08_ses-01_T1w,0.246332639454618
ds003434_sub-15_ses-01_T1w,0.24083684109525894
ds003434_sub-10_ses-01_T1w,0.24384994408979435
ds003434_sub-16_ses-01_T1w,0.24989677885507192
ds003434_sub-13_ses-01_T1w,0.261619046846138
ds003434_sub-17_ses-01_T1w,0.26199899641877566
ds003434_sub-07_ses-01_T1w,0.28847521136739934
ds003434_sub-06_ses-01_T1w,0.228852901996043
ds003434_sub-11_ses-01_T1w,0.2650170183260961
ds003434_sub-04_ses-01_T1w,0.23757990381082866
ds003438_sub-19_ses-01_T1w,0.25988141264976744
ds002940_sub-s11_ses-02_T1w,1.102291991705751
ds002940_sub-s11_ses-01_T1w,1.1622164495897638
ds002790_sub-0027_T1w,0.24519592033912063
ds002790_sub-0100_T1w,0.2411039564665756
ds002790_sub-0091_T1w,0.22899828959994495
ds002790_sub-0146_T1w,0.23042961630974979
